job_id,stage,seed,folds,instances_per_fold,density,background,positives_per_fold,negatives_per_fold,max_depth,node_size,n_estimators,threshold,request_memory
smoke_s7,smoke,7,3,500,1.3,primitive,20,20,3,2,5,0.38,2GB
smoke_s17,smoke,17,3,500,1.3,primitive,20,20,3,2,5,0.38,2GB
small_s7,small,7,5,5000,1.3,primitive,250,250,4,2,20,0.38,1500MB
small_s17,small,17,5,5000,1.3,primitive,250,250,4,2,20,0.38,1500MB
small_s29,small,29,5,5000,1.3,primitive,250,250,4,2,20,0.38,1500MB
medium_s7,medium,7,5,10000,1.4,primitive,500,500,4,2,30,0.38,2500MB
medium_s17,medium,17,5,10000,1.4,primitive,500,500,4,2,30,0.38,2500MB
medium_s29,medium,29,5,10000,1.4,primitive,500,500,4,2,30,0.38,2500MB
grid_d3_e10_n1_s7,param_grid27,7,5,1500,1.3,primitive,75,75,3,1,10,0.38,1800MB
grid_d3_e10_n2_s7,param_grid27,7,5,1500,1.3,primitive,75,75,3,2,10,0.38,1500MB
grid_d3_e10_n3_s7,param_grid27,7,5,1500,1.3,primitive,75,75,3,3,10,0.38,1500MB
grid_d3_e20_n1_s7,param_grid27,7,5,1500,1.3,primitive,75,75,3,1,20,0.38,1800MB
grid_d3_e20_n2_s7,param_grid27,7,5,1500,1.3,primitive,75,75,3,2,20,0.38,1500MB
grid_d3_e20_n3_s7,param_grid27,7,5,1500,1.3,primitive,75,75,3,3,20,0.38,1500MB
grid_d3_e30_n1_s7,param_grid27,7,5,1500,1.3,primitive,75,75,3,1,30,0.38,1800MB
grid_d3_e30_n2_s7,param_grid27,7,5,1500,1.3,primitive,75,75,3,2,30,0.38,1800MB
grid_d3_e30_n3_s7,param_grid27,7,5,1500,1.3,primitive,75,75,3,3,30,0.38,1800MB
grid_d4_e10_n1_s7,param_grid27,7,5,1500,1.3,primitive,75,75,4,1,10,0.38,1800MB
grid_d4_e10_n2_s7,param_grid27,7,5,1500,1.3,primitive,75,75,4,2,10,0.38,1500MB
grid_d4_e10_n3_s7,param_grid27,7,5,1500,1.3,primitive,75,75,4,3,10,0.38,1500MB
grid_d4_e20_n1_s7,param_grid27,7,5,1500,1.3,primitive,75,75,4,1,20,0.38,1800MB
grid_d4_e20_n2_s7,param_grid27,7,5,1500,1.3,primitive,75,75,4,2,20,0.38,1500MB
grid_d4_e20_n3_s7,param_grid27,7,5,1500,1.3,primitive,75,75,4,3,20,0.38,1500MB
grid_d4_e30_n1_s7,param_grid27,7,5,1500,1.3,primitive,75,75,4,1,30,0.38,1800MB
grid_d4_e30_n2_s7,param_grid27,7,5,1500,1.3,primitive,75,75,4,2,30,0.38,1800MB
grid_d4_e30_n3_s7,param_grid27,7,5,1500,1.3,primitive,75,75,4,3,30,0.38,1800MB
grid_d5_e10_n1_s7,param_grid27,7,5,1500,1.3,primitive,75,75,5,1,10,0.38,1800MB
grid_d5_e10_n2_s7,param_grid27,7,5,1500,1.3,primitive,75,75,5,2,10,0.38,1800MB
grid_d5_e10_n3_s7,param_grid27,7,5,1500,1.3,primitive,75,75,5,3,10,0.38,1800MB
grid_d5_e20_n1_s7,param_grid27,7,5,1500,1.3,primitive,75,75,5,1,20,0.38,1800MB
grid_d5_e20_n2_s7,param_grid27,7,5,1500,1.3,primitive,75,75,5,2,20,0.38,1800MB
grid_d5_e20_n3_s7,param_grid27,7,5,1500,1.3,primitive,75,75,5,3,20,0.38,1800MB
grid_d5_e30_n1_s7,param_grid27,7,5,1500,1.3,primitive,75,75,5,1,30,0.38,1800MB
grid_d5_e30_n2_s7,param_grid27,7,5,1500,1.3,primitive,75,75,5,2,30,0.38,1800MB
grid_d5_e30_n3_s7,param_grid27,7,5,1500,1.3,primitive,75,75,5,3,30,0.38,1800MB
rec_grid_d3_e20_n2_s7,recursive_grid12,7,5,1500,1.3,primitive,75,75,3,2,20,0.38,1800MB
rec_grid_d3_e20_n3_s7,recursive_grid12,7,5,1500,1.3,primitive,75,75,3,3,20,0.38,1800MB
rec_grid_d3_e30_n2_s7,recursive_grid12,7,5,1500,1.3,primitive,75,75,3,2,30,0.38,2000MB
rec_grid_d3_e30_n3_s7,recursive_grid12,7,5,1500,1.3,primitive,75,75,3,3,30,0.38,2000MB
rec_grid_d4_e20_n2_s7,recursive_grid12,7,5,1500,1.3,primitive,75,75,4,2,20,0.38,1800MB
rec_grid_d4_e20_n3_s7,recursive_grid12,7,5,1500,1.3,primitive,75,75,4,3,20,0.38,1800MB
rec_grid_d4_e30_n2_s7,recursive_grid12,7,5,1500,1.3,primitive,75,75,4,2,30,0.38,2000MB
rec_grid_d4_e30_n3_s7,recursive_grid12,7,5,1500,1.3,primitive,75,75,4,3,30,0.38,2000MB
rec_grid_d5_e20_n2_s7,recursive_grid12,7,5,1500,1.3,primitive,75,75,5,2,20,0.38,2000MB
rec_grid_d5_e20_n3_s7,recursive_grid12,7,5,1500,1.3,primitive,75,75,5,3,20,0.38,2000MB
rec_grid_d5_e30_n2_s7,recursive_grid12,7,5,1500,1.3,primitive,75,75,5,2,30,0.38,2200MB
rec_grid_d5_e30_n3_s7,recursive_grid12,7,5,1500,1.3,primitive,75,75,5,3,30,0.38,2200MB
