job_id,stage,seed,returncode,instances_per_fold,positives_per_fold,negatives_per_fold,density,background,max_depth,node_size,n_estimators,threshold,total,positives,negatives,accuracy,precision,recall,f1,auc,tp,fp,tn,fn,max_rss_kb,finished_at_utc
grid_d3_e10_n1_s7,param_grid27,7,0,1500,75,75,1.3,primitive,3,1,10,0.50,750,375,375,0.6747,0.7314,0.552,0.6292,0.761,207,76,299,168,658596,2026-08-17T09:23:56.482846+00:00
grid_d3_e10_n2_s7,param_grid27,7,0,1500,75,75,1.3,primitive,3,2,10,0.50,750,375,375,0.7,0.7329,0.6293,0.6772,0.798,236,86,289,139,1541512,2026-08-17T12:21:04.022518+00:00
grid_d3_e10_n3_s7,param_grid27,7,0,1500,75,75,1.3,primitive,3,3,10,0.50,750,375,375,0.724,0.7561,0.6613,0.7055,0.8217,248,80,295,127,1761276,2026-08-17T15:21:16.392876+00:00
grid_d3_e20_n1_s7,param_grid27,7,0,1500,75,75,1.3,primitive,3,1,20,0.50,750,375,375,0.688,0.6975,0.664,0.6803,0.7666,249,108,267,126,939220,2026-08-17T10:45:14.244139+00:00
grid_d3_e20_n2_s7,param_grid27,7,0,1500,75,75,1.3,primitive,3,2,20,0.50,750,375,375,0.7347,0.7292,0.7467,0.7378,0.816,280,104,271,95,1327264,2026-08-17T14:28:40.755022+00:00
grid_d3_e20_n3_s7,param_grid27,7,0,1500,75,75,1.3,primitive,3,3,20,0.50,750,375,375,0.7427,0.723,0.7867,0.7535,0.8218,295,113,262,80,1615536,2026-08-18T04:05:34.492019+00:00
grid_d3_e30_n1_s7,param_grid27,7,0,1500,75,75,1.3,primitive,3,1,30,0.50,750,375,375,0.704,0.7119,0.6853,0.6984,0.7748,257,104,271,118,615492,2026-08-17T15:05:20.064731+00:00
grid_d3_e30_n2_s7,param_grid27,7,0,1500,75,75,1.3,primitive,3,2,30,0.50,750,375,375,0.7467,0.7284,0.7867,0.7564,0.8316,295,110,265,80,1398128,2026-08-18T01:37:17.292699+00:00
grid_d3_e30_n3_s7,param_grid27,7,0,1500,75,75,1.3,primitive,3,3,30,0.50,750,375,375,0.7373,0.7342,0.744,0.7391,0.8315,279,101,274,96,1838288,2026-08-18T13:24:00.987378+00:00
grid_d4_e10_n1_s7,param_grid27,7,0,1500,75,75,1.3,primitive,4,1,10,0.50,750,375,375,0.664,0.7071,0.56,0.625,0.7711,210,87,288,165,668348,2026-08-17T17:48:35.746548+00:00
grid_d4_e10_n2_s7,param_grid27,7,0,1500,75,75,1.3,primitive,4,2,10,0.50,750,375,375,0.704,0.7398,0.6293,0.6801,0.8059,236,83,292,139,1701044,2026-08-17T21:33:45.047513+00:00
grid_d4_e10_n3_s7,param_grid27,7,0,1500,75,75,1.3,primitive,4,3,10,0.50,750,375,375,0.72,0.7636,0.6373,0.6948,0.8159,239,74,301,136,1575512,2026-08-18T04:42:17.318412+00:00
grid_d4_e20_n1_s7,param_grid27,7,0,1500,75,75,1.3,primitive,4,1,20,0.50,750,375,375,0.7013,0.7127,0.6747,0.6932,0.7753,253,102,273,122,652300,2026-08-17T20:22:44.046369+00:00
grid_d4_e20_n2_s7,param_grid27,7,0,1500,75,75,1.3,primitive,4,2,20,0.50,750,375,375,0.7413,0.7315,0.7627,0.7467,0.822,286,105,270,89,1559100,2026-08-18T01:56:15.445037+00:00
grid_d4_e20_n3_s7,param_grid27,7,0,1500,75,75,1.3,primitive,4,3,20,0.50,750,375,375,0.7387,0.7412,0.7333,0.7373,0.832,275,96,279,100,1691164,2026-08-18T15:53:16.032721+00:00
grid_d4_e30_n1_s7,param_grid27,7,0,1500,75,75,1.3,primitive,4,1,30,0.50,750,375,375,0.6973,0.6968,0.6987,0.6977,0.7742,262,114,261,113,702116,2026-08-18T01:37:17.286748+00:00
grid_d4_e30_n2_s7,param_grid27,7,0,1500,75,75,1.3,primitive,4,2,30,0.50,750,375,375,0.72,0.7099,0.744,0.7266,0.8132,279,114,261,96,1852668,2026-08-18T14:25:14.567888+00:00
